iso3alpha,cowccode,iso3numeric,yearbegin,yearend,location,locationISO,expectation,illtreatment,it_cert,unstated,scarring,stealth,death,magnitude,om_cert,numbervictims,vtcriminal,vtdissident,vtmarginalized,vtstateagent,vtpow,vtunst,vt_cert,aocpolice,aocprison,aocmilitary,aocimmigrationdetention,aocintelligence,aocparamilitary,aocunst,aoc_cert,formalcomplaint,investigation,investoutcome,adjlocationintlcourt,adjlocationdomcourt,adjudicationoutcome,adjout_cert,transborder,destination,destinationISO,dest_cert,codernum,RstrctAccess
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,No,10-99,B,Not Zero,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,No,1-9,A,1,No,No,No,No,No,Yes,A,No,Yes,No,No,No,No,No,B,Unknown,Unknown,,,,,,Not Transborder,,,,12,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,Yes,Yes,No,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Administrative Sanction,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,100-999,A,400,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Unknown,A,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,Yes,Yes,No,1-9,A,36,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,Yes,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Dismissal from Employment,,,,,Not Transborder,,,,4,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,100-999,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,No,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,Not Zero,A,Not Zero,No,No,Yes,No,No,No,B,Yes,No,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Outside National Borders,392,No,Yes,A,No,Yes,No,No,1-9,A,1,No,No,Yes,No,No,No,A,No,No,Yes,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,18,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,No,Yes,1-9,A,1,No,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Pending,A,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,No,Yes,No,1-9,A,1,Yes,No,Yes,No,No,No,A,No,Yes,No,No,No,No,No,A,Unknown,Unknown,,,,,,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,B,No,No,Yes,No,Not Zero,A,Not Zero,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Yes,Adjudication/Mediation,No,Yes,Unknown,B,Not Transborder,,,,26,Yes
USA,2,840,1995,1995,Inside National Borders,,No,Yes,A,No,No,No,No,1-9,A,1,Yes,No,No,No,No,No,A,No,Yes,No,No,No,No,No,A,Yes,Unknown,,,,,,Not Transborder,,,,22,Yes
USA,2,840,1995,1995,Inside National Borders,,No,No,A,No,Yes,Yes,Yes,1-9,B,Not Zero,Yes,No,Yes,No,No,No,A,Yes,No,No,No,No,No,No,A,Yes,Yes,None,,,,,Not Transborder,,,,26,Yes
