"column_number","column_name","column_label","column_class","has_missing","unique_values"
1,"country_name","Country name","character",FALSE,179
2,"country_text_id","Country name abbreviation","character",FALSE,179
3,"country_id","V--Dem country ID","numeric",TRUE,179
4,"year","Year","numeric",FALSE,77
5,"historical_date","Historical Date","Date",TRUE,77
6,"project","V--Dem Project","numeric",TRUE,3
7,"historical","Historical V--Dem Coding","numeric",TRUE,3
8,"histname","Time--Specific Country Name","character",FALSE,417
9,"codingstart","Start of coding period","numeric",TRUE,46
10,"codingend","End of coding period","numeric",TRUE,4
11,"codingstart_contemp","Contemporary start of coding period","numeric",TRUE,30
12,"codingend_contemp","Historical End of Coding Period","numeric",TRUE,4
13,"codingstart_hist","Historical start of coding period","numeric",TRUE,20
14,"codingend_hist","Historical End of Coding Period","numeric",TRUE,8
15,"gapstart1","Gap in coding period starts","numeric",TRUE,17
16,"gapstart2","Gap in coding period starts","numeric",TRUE,3
17,"gapstart3","Gap in coding period starts","numeric",TRUE,2
18,"gapend1","Gap in coding period ends","numeric",TRUE,18
19,"gapend2","Gap in coding period ends","numeric",TRUE,3
20,"gapend3","Gap in coding period ends","numeric",TRUE,2
21,"gap_index","Gap index","numeric",TRUE,179
22,"ccode","COW Country Code","numeric",FALSE,212
23,"v2x_polyarchy","Electoral democracy index","numeric",TRUE,918
24,"v2x_polyarchy_codelow","Electoral democracy index","numeric",TRUE,897
25,"v2x_polyarchy_codehigh","Electoral democracy index","numeric",TRUE,950
26,"v2x_polyarchy_sd","Electoral democracy index","numeric",TRUE,76
27,"v2x_libdem","Liberal democracy index","numeric",TRUE,888
28,"v2x_libdem_codelow","Liberal democracy index","numeric",TRUE,861
29,"v2x_libdem_codehigh","Liberal democracy index","numeric",TRUE,930
30,"v2x_libdem_sd","Liberal democracy index","numeric",TRUE,70
31,"v2x_partipdem","Participatory democracy index","numeric",TRUE,764
32,"v2x_partipdem_codelow","Participatory democracy index","numeric",TRUE,734
33,"v2x_partipdem_codehigh","Participatory democracy index","numeric",TRUE,801
34,"v2x_partipdem_sd","Participatory democracy index","numeric",TRUE,59
35,"v2x_delibdem","Deliberative democracy index","numeric",TRUE,884
36,"v2x_delibdem_codelow","Deliberative democracy index","numeric",TRUE,856
37,"v2x_delibdem_codehigh","Deliberative democracy index","numeric",TRUE,929
38,"v2x_delibdem_sd","Deliberative democracy index","numeric",TRUE,86
