"p_name","state","center_lon","center_lat","turbine_count","total_capacity","avg_hub_height","year_built","avg_wind_speed","median_wind_speed","n_observations","state_name_lower"
"25 Mile Creek","OK",-99.7636805333333,36.4669681833333,60,250000,104.583333333333,2022,NA,NA,NA,NA
"251 Wind","CA",-118.364123,35.0776623333333,3,285,NA,1987,NA,NA,NA,NA
"30 MW Iowa DG Portfolio","IA",-93.4497857,42.0065709,10,30000,87.5,2017,NA,NA,NA,NA
"6th Space Warning Squadron","MA",-70.543552,41.7533415,2,3360,80,2013,NA,NA,NA,NA
"AFCEE MMR Turbines","MA",-70.5465505,41.7585905,2,3000,80,2011,NA,NA,NA,NA
"AG Land 1","IA",-93.325691,42.20639,1,1600,80,2012,NA,NA,NA,NA
"AG Land 2","IA",-93.428093,42.146091,1,1600,80,2012,NA,NA,NA,NA
"AG Land 3","IA",-93.431992,42.145592,1,1600,80,2012,NA,NA,NA,NA
"AG Land 4","IA",-93.354897,41.904194,1,1600,80,2012,NA,NA,NA,NA
"AG Land 5","IA",-93.632095,42.335491,1,1600,80,2012,NA,NA,NA,NA
"AG Land 6","IA",-93.636795,42.335491,1,1600,80,2012,NA,NA,NA,NA
"AMP-Ohio/Green Mountain Energy Wind Farm","OH",-83.736298,41.3835925,2,3600,78,2004,NA,NA,NA,NA
"Adair","IA",-94.6677423552632,41.4557175526316,76,174800,80,2008,NA,NA,NA,NA
"Adams","IA",-94.6747481875,40.92077409375,64,154284,82.1875,2016,NA,NA,NA,NA
"Adams Wind Generations, LLC","MN",-94.7238425833333,44.9149844166667,12,20040,80,2011,NA,NA,NA,NA
"Agassiz Beach","MN",-96.432833,47.00331,3,1980,65,2001,NA,NA,NA,NA
"Agriwind","IL",-89.6190945,41.30081775,4,8400,80,2008,NA,NA,NA,NA
"Ainsworth Wind Project (NPPD)","NE",-99.9140756111111,42.4611174722222,36,59400,70,2005,NA,NA,NA,NA
